track_id;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechness;tempo;time_signature;valence
7xAdO0zdl7lGf0ecg4IGhQ;0.00463;0.539;0.869;0;6;0.324;-5.341;1;0.0471;143.987;4;0.362
6hSxr76GsFdzqG7gxCVA35;0.294;0.688;0.633;2.32e-06;6;0.108;-7.195;1;0.0897;85.033;4;0.697
4i2OsaRNDW7Jr3KqUb4xfw;0.0542;0.403;0.86;0.000349;6;0.13;-4.252;1;0.0649;176.0;4;0.311
6y9Fh1Qs37Mk6pjmcactG6;0.0667;0.75;0.853;0;6;0.554;-5.238;0;0.166;122.03;4;0.601
3luvdscgCmfVaEEzsKfsBC;0.554;0.572;0.756;0;6;0.0919;-8.311;1;0.185;91.878;4;0.734
3RDwxk2VuQwBOppFUwliRp;0.0103;0.506;0.903;0;6;0.291;-5.049;1;0.249;157.738;4;0.724
5omWAB5iNMHvbAfBSzkdu8;0.0116;0.488;0.842;0.00127;6;0.146;-5.926;1;0.0469;90.003;4;0.41
2s6WpprGoTaHfRWeJn12Or;0.00011;0.447;0.937;0.169;6;0.163;-4.466;1;0.0564;179.928;4;0.571
0HeqgNgXXsWAkCEVSiVSQd;0.000299;0.45;0.965;0.00234;6;0.313;-4.381;1;0.0895;180.013;4;0.441
0hTrVZ2JWkEeuxwgIPtRZw;0.00399;0.481;0.899;2.93e-05;6;0.0418;-5.237;1;0.0441;140.023;4;0.314
4BUMLahhHwt4U3gWZVCBdi;0.000356;0.516;0.907;0.028;6;0.0903;-6.137;1;0.0496;131.913;4;0.457
2IjmQQCDq2HLXEZK2i3FiN;0.116;0.607;0.834;0;6;0.253;-5.575;1;0.0413;156.446;4;0.807
5uncq1B94MBfyyZcnYhX6o;0.476;0.63;0.378;0;6;0.316;-8.482;1;0.106;118.906;4;0.444
4PfHuTNKpHQ6hZjT5yRp3a;0.406;0.465;0.567;0.00131;5;0.107;-6.119;1;0.0342;112.039;4;0.335
7yGTLo7nVv7OyXbIuRIsPn;0.0957;0.621;0.759;0;6;0.137;-4.923;0;0.131;145.236;4;0.31
5FDwz2G1hFoqBoXsr6gCWV;0.00868;0.7;0.5;0;6;0.101;-8.706;0;0.308;102.751;4;0.717
6qjcR3YhnmZ8qT7BGOXLR6;9.05e-05;0.408;0.756;0.0127;6;0.164;-5.891;1;0.05;157.483;4;0.447
5xyExId5XWZplBvjmbIuy6;0.00429;0.678;0.81;0;6;0.0597;-5.756;0;0.0342;123.989;4;0.57
4rCcS4aOiCM2VVg8eLjOD2;0.000678;0.568;0.948;1.93e-05;6;0.344;-5.052;1;0.058;102.026;4;0.527
0RJ7SwEtfN9hmRK1nJFLZR;0.000205;0.444;0.822;0.00714;6;0.076;-5.483;1;0.0309;154.945;4;0.498
5U1g4OWjCCkZtWNreyuHtw;0.000775;0.398;0.935;0;6;0.113;-4.443;1;0.0581;180.051;4;0.425
3JdtnzG1qxSugpXwNuoo9v;0.000174;0.402;0.874;8.75e-05;6;0.183;-5.263;0;0.111;200.04;4;0.403
0FeXJbHYosv4NltF7D7O6N;0.000129;0.464;0.876;2.69e-05;6;0.119;-3.883;1;0.0322;177.944;4;0.602
0d7zUzCxPTG7ZqWMg74p3h;0.128;0.597;0.455;0;5;0.0832;-7.25;1;0.0246;93.069;4;0.357
7eAnF0Yr5MsC3Y2JOxBaY5;1.8e-05;0.48;0.925;8.96e-06;6;0.14;-4.449;1;0.0538;150.014;4;0.46
0E8MZQojaVMnBccdfCi6Kt;0.0895;0.464;0.618;0;6;0.28;-5.919;0;0.302;87.034;4;0.696
5D7YFHDvv4CZaKtLVwjrYB;0.0642;0.823;0.477;0.000328;5;0.0762;-7.117;1;0.0266;99.04;4;0.671
5KlUBJoqxkDWKhh2bLxika;0.0489;0.525;0.902;7.63e-05;6;0.105;-3.954;1;0.0402;89.996;4;0.686
1RhVt6sIHDzZPT6a7VDB47;0.000143;0.572;0.955;5.04e-06;6;0.0694;-2.798;1;0.102;134.98;4;0.668
1qBKrPkpVNu11W4tjY88Gj;0.495;0.619;0.536;0;6;0.117;-7.015;1;0.0407;124.059;4;0.135
2oc4682b0b7A4ZxU1TXzqH;0.00238;0.519;0.938;6.9e-05;6;0.13;-5.164;1;0.17;112.478;4;0.387
2SBFbElrbcLtfOBcQ2pYdy;0.29;0.648;0.433;0;6;0.0542;-9.192;1;0.0435;93.973;4;0.57
6mDWWEoZoHPungvuIQDQUe;0.801;0.579;0.696;0.124;7;0.704;-8.033;1;0.0575;124.99;4;0.127
5wIVPZsebAxvDEf5ZINdfS;0.199;0.588;0.787;0;1;0.0725;-6.437;0;0.0302;129.935;4;0.183
7j1Q7Xx6Ozn5mUJfrqaSjp;0.56;0.805;0.658;0.0133;6;0.124;-6.137;1;0.0702;114.972;4;0.305
