track_id;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechness;tempo;time_signature;valence
0zMC1fj2pbK8F0jQhXwasY;0.268;0.54;0.645;0;5;0.131;-7.373;1;0.233;89.618;4;0.423
5lBUY5BqQfbNCaMWkVfwpH;0.229;0.781;0.745;0;5;0.496;-7.631;1;0.532;164.706;4;0.559
0k4SlTCm0DuXrRmCEkE9vj;0.641;0.619;0.586;0;11;0.135;-10.589;0;0.686;181.194;4;0.775
4JUI9kNX80cAr9Taa7YAAD;0.0031;0.69;0.85;0.0281;5;0.0986;-6.923;0;0.0432;123.958;4;0.766
0VJnyoNL9jXHIZwNG1QAtc;0.0412;0.702;0.856;0.00603;5;0.0764;-4.937;0;0.0609;123.977;4;0.363
5xdVqHtFS0eLuNp4Z8Wbpa;0.189;0.611;0.68;0;5;0.0644;-6.457;0;0.0592;88.97;4;0.231
0UflERiYbsLO8gIAv7JLiC;0.00106;0.356;0.98;0;5;0.629;-2.932;0;0.15;196.886;4;0.389
4JXfNOePhdgMOI7KZ1L25U;0.00014;0.351;0.869;0.000206;5;0.0886;-4.035;0;0.0509;182.811;4;0.355
71GKH6kO0wJQCRNgb6MOvM;0.0476;0.5;0.846;5.24e-06;5;0.172;-3.749;1;0.029;151.894;4;0.439
4rXUu4P75gVvPlt2vu6VhW;0.237;0.689;0.801;9.21e-06;5;0.215;-6.007;1;0.0528;136.874;4;0.599
2CSpiBpyXR0n5uWdjptqhP;0.000136;0.261;0.958;0.00164;5;0.286;-4.36;1;0.117;139.781;4;0.402
5Y3d8TTZXRfhrGGVoKAeNP;0.0916;0.761;0.92;0;5;0.365;-5.773;1;0.413;139.966;4;0.587
4Me5ZCpt8es8BTypLGsE6H;0.389;0.757;0.681;0.0558;5;0.113;-10.125;1;0.0403;100.014;4;0.455
5pY5SD9kkFQDsD6oEynfGS;0.00782;0.708;0.763;0.000216;5;0.182;-6.112;0;0.0349;104.976;4;0.801
4PfHuTNKpHQ6hZjT5yRp3a;0.406;0.465;0.567;0.00131;5;0.107;-6.119;1;0.0342;112.039;4;0.335
7bd0BC9RNR6GxJsM3pRwBw;0.633;0.643;0.491;0.000109;9;0.104;-12.87;0;0.641;173.147;4;0.431
6EFBx1HxEPtYhf0TO4hNcj;0.447;0.67;0.453;6.9e-05;5;0.111;-8.66;1;0.033;98.024;4;0.116
4v0yEN8FUEEt80m8gY8WBZ;4.24e-05;0.234;0.942;0.0322;5;0.464;-3.76;1;0.0792;165.478;4;0.343
7tmIQWlTP3lqZbJkOJ1T0f;0.427;0.586;0.669;1.45e-05;0;0.372;-6.608;1;0.371;149.494;4;0.311
33IOhptvC2Qoy2UhjiHXLV;0.0723;0.609;0.726;8.45e-06;5;0.0895;-4.346;0;0.0414;93.958;4;0.362
3iV11AiIEDIOVjKy3kgjld;0.00104;0.578;0.896;0.00513;0;0.126;-5.699;1;0.0497;129.843;4;0.576
7mNjeshOOLZO21uq9CxroU;0.118;0.545;0.649;0;5;0.0703;-7.137;0;0.15;144.479;4;0.36
