track_id;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechness;tempo;time_signature;valence
7dmoD2RWd6uinJAgM20KI8;0.784;0.406;0.333;2.15e-05;4;0.166;-7.626;1;0.0274;159.627;3;0.18
1bdXMstfxFWYSkEFTnJMoN;0.00213;0.577;0.828;0.0114;6;0.0581;-8.691;0;0.0298;123.257;4;0.604
0PSHEHVctL81aDFJ2V0wQ0;0.359;0.794;0.72;6.3e-05;6;0.296;-5.186;1;0.0653;99.962;4;0.384
2uau7MeyH0btiYstAdhSlf;0.000935;0.367;0.796;0.818;5;0.176;-8.57;1;0.0832;155.934;4;0.0821
3BZDXATRyOv0psKSbbZ00r;0.856;0.36;0.187;0.0207;3;0.0756;-17.452;1;0.0764;176.978;3;0.0675
1OzBgu7EIcab8wxnpWB9Qu;0.00535;0.561;0.845;0.0647;6;0.0706;-6.27;0;0.1;119.966;4;0.507
1KYGYn7uqdziaQK4BxbpyD;0.297;0.626;0.683;0;5;0.104;-5.927;0;0.0332;110.047;4;0.343
5huIzPcRJkbL7UyyzViQPU;0.976;0.243;0.123;0.879;8;0.176;-20.642;1;0.0421;111.435;3;0.0501
2vr6fjMZm1pliQ3a6HL8MT;0.985;0.346;0.0644;0.893;3;0.17;-22.683;1;0.0431;126.717;3;0.119
1jhTckyXHhWBqLsWP6rvZG;0.879;0.478;0.267;0.953;3;0.115;-12.863;1;0.0309;130.029;3;0.0557
6fZpcVRr45Z6fLtciswBBU;0.583;0.663;0.666;3.85e-06;6;0.222;-5.441;1;0.125;159.983;4;0.605
7jQ536P2TVwwwmVjBRL4kX;0.995;0.367;0.167;0.908;11;0.131;-21.306;1;0.0468;130.209;3;0.119
5R4Ab6YztgNL2rECssnwwQ;0.887;0.533;0.183;0.843;3;0.11;-17.144;1;0.0369;88.121;4;0.117
3CTpL3826INwF2WZ0G3Ec0;0.985;0.337;0.0878;0.912;3;0.124;-16.96;1;0.0289;63.124;3;0.04
7GeWOIXTJNAnw6Yp2O61vf;0.0166;0.369;0.83;0;6;0.0546;-5.578;0;0.108;103.976;4;0.291
7doSYW71rxRVAj49ilysHd;0.959;0.521;0.0159;0.000496;7;0.14;-22.532;1;0.0475;129.697;3;0.25
4FPl7RHJ8SQz6BZeRNxBTs;0.875;0.202;0.147;0.887;3;0.109;-22.582;1;0.0322;68.726;3;0.0391
6Gf9L0RePGpCHaFIXCMZN4;0.00624;0.555;0.791;0;5;0.193;-6.445;0;0.0513;105.088;4;0.158
2VseRAuxHRFtlvr5zP1fKE;0.884;0.169;0.0402;0.906;7;0.115;-22.564;0;0.0407;129.748;3;0.0364
0VmdveDdlr2FMGwBljCfxA;0.189;0.514;0.719;0.000443;5;0.107;-7.679;1;0.0278;99.98;4;0.304
23bRWolI0f0BAaRa1jYtm6;0.0964;0.558;0.537;0;5;0.114;-6.73;0;0.306;130.008;4;0.229
