track_id;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechness;tempo;time_signature;valence
3T8Jef18F1DrJBibgfeDik;0.98;0.23;0.0709;0.845;7;0.185;-19.068;1;0.0333;92.051;4;0.198
4Jzeazo1MwldseSp7yT6jO;0.0544;0.627;0.591;9.66e-05;5;0.113;-8.675;1;0.0504;93.933;4;0.354
3wyuAyorVPQJoQesa6e4iQ;0.0718;0.596;0.712;0;4;0.0932;-6.448;0;0.0531;140.044;4;0.306
023iguyZD2x6yCSJDYxfyQ;0.196;0.685;0.593;0;5;0.112;-6.023;0;0.152;123.873;4;0.543
7FJOfe35vaoRTyEkmyS5IP;0.000697;0.659;0.68;0.00149;4;0.066;-4.362;0;0.0699;149.951;4;0.615
60WNEqIMoQ8IKpbkg4hl4c;0.961;0.197;0.00911;0.911;8;0.0872;-27.509;1;0.0425;198.117;4;0.0661
1KDNYbWpPKkjGiwkBFy4VB;0.373;0.76;0.762;0;5;0.194;-5.353;1;0.0673;80.017;4;0.924
4TCAKXBD90qkfG0DqZOimv;0.993;0.368;0.158;0.908;7;0.1;-19.106;1;0.0457;122.07;4;0.17
321gv2jshdnYZ2hZSjPwuI;0.0627;0.537;0.749;0;4;0.431;-2.922;0;0.0354;128.014;4;0.0865
1LUMElEd9at8w1nHgDnMjs;0.402;0.527;0.753;0;7;0.246;-6.455;1;0.428;199.848;4;0.653
4XE3vd1P1cMLbTj6umBDiT;0.272;0.645;0.63;3.14e-05;5;0.134;-6.979;0;0.0265;125.026;4;0.254
3vv9phIu6Y1vX3jcqaGz5Z;0.0435;0.713;0.802;0.00377;4;0.309;-7.055;1;0.0561;100.001;4;0.343
53ce7wMxFAET5xEG8zb6bY;0.306;0.617;0.589;0;4;0.0996;-6.581;1;0.028;113.025;4;0.199
1m2bxi6oXt69p07HuJcsU1;0.141;0.645;0.461;0.0341;4;0.245;-12.888;1;0.328;139.841;3;0.392
3xm1LPIdjp5UdobQXqZGEu;0.00254;0.607;0.513;0.387;7;0.117;-8.693;1;0.0308;120.032;4;0.0457
6cpjHSaH0xK3Lz6FqUniHm;0.186;0.737;0.585;0;5;0.115;-6.252;1;0.0975;147.064;4;0.693
0OfZ9imMwFU03zc2wl8pBt;0.299;0.743;0.564;0.000693;5;0.109;-8.761;1;0.045;120.012;4;0.505
1rASyx7rX7RBR5EIfFgpbq;0.028;0.563;0.728;0;7;0.164;-4.979;1;0.233;193.965;4;0.643
2JuasWPUodaUxf5nwNpciQ;0.37;0.384;0.562;0.267;3;0.0775;-10.059;0;0.0296;136.094;3;0.159
47zEwDa8gJdJ4uTLnne1KU;0.00329;0.565;0.779;0.0036;5;0.198;-6.431;1;0.0357;129.989;4;0.165
5JGS2F28ZKfiAspeMXrDAl;0.929;0.202;0.222;0.851;8;0.101;-24.465;1;0.051;196.379;4;0.0493
5TlccYe8F3fl7Y37PeagtA;0.319;0.58;0.694;0.00171;7;0.0641;-7.164;1;0.0474;112.015;4;0.214
3roVlQAELe3DGGTfCwcdvL;0.201;0.538;0.758;5.23e-05;7;0.351;-5.3;1;0.114;151.438;4;0.586
2JQETPqT9cN1qQaYdDXA0u;0.0236;0.864;0.841;0.000158;4;0.0913;-3.376;1;0.0825;127.949;4;0.655
4QPVk7qBzdJnxaanerEIKa;0.0252;0.588;0.664;0.00206;4;0.842;-6.577;0;0.0285;95.957;4;0.15
7ccJNIggc0vIW9q0zYMsuS;0.899;0.419;0.203;0.869;4;0.081;-24.382;1;0.0465;113.309;4;0.167
6bLSEeAL9AcHMMkdmDKetf;0.933;0.255;0.398;0.947;0;0.262;-13.204;1;0.0413;159.481;4;0.0412
6s6fNZPqFsVGKbd7HpIedb;0.996;0.342;0.0397;0.946;7;0.0988;-28.254;1;0.0989;192.815;4;0.22
4Tbozkz6sGUxiQw7Kp16rs;0.114;0.655;0.73;8.71e-06;5;0.206;-6.254;1;0.0345;99.971;4;0.65
0d7zUzCxPTG7ZqWMg74p3h;0.128;0.597;0.455;0;5;0.0832;-7.25;1;0.0246;93.069;4;0.357
