track_id;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechness;tempo;time_signature;valence
0wBNVJm6ivrFUlSucNVCkf;0.000548;0.307;0.824;0.000252;7;0.133;-6.396;1;0.143;174.099;4;0.606
6AGQ7pKkcnc6RVjtARt1ph;3.42e-05;0.472;0.907;5.86e-06;7;0.353;-3.981;1;0.0672;96.595;4;0.353
5LSdKFeLPMAdJim5nWKHMu;0.000121;0.425;0.74;9.11e-05;7;0.0701;-5.541;1;0.0403;170.039;4;0.642
1HpLhlhjveQ8jQBRgxequO;0.00342;0.514;0.864;8.37e-06;7;0.0996;-4.316;1;0.0777;117.966;4;0.238
4ojwWoNZR7g7B4x9BfJ2FD;0.0889;0.714;0.827;0;7;0.125;-5.979;1;0.0956;99.065;4;0.894
5aJxpXrVzSPXW6T1hwaXwj;0.459;0.787;0.53;5.42e-05;5;0.103;-7.014;1;0.131;120.068;4;0.571
4rXUu4P75gVvPlt2vu6VhW;0.237;0.689;0.801;9.21e-06;5;0.215;-6.007;1;0.0528;136.874;4;0.599
2CO3H6EcL9mHOq0yXd2Bqb;0.0034;0.545;0.931;3.39e-06;5;0.098;-4.852;1;0.0452;134.023;4;0.395
3BjYWQdFFNV5wLIbi8tJlX;0.000273;0.426;0.958;0.000771;7;0.115;-4.703;1;0.163;77.002;4;0.365
7yYHqCFnz7IrMKRO5T48FZ;0.000968;0.405;0.898;2.03e-06;5;0.2;-5.982;1;0.0417;165.126;4;0.697
4qSiJEeSnMcgHVowYYmazH;0.000742;0.447;0.924;0;6;0.334;-3.536;0;0.0371;88.043;4;0.33
45vuHzBLsQMveqJNn3oEuA;0.988;0.28;0.0951;0.991;9;0.119;-16.643;1;0.0307;81.358;5;0.044
6qIxd4ALtAka6LOUS9cRlL;0.00108;0.437;0.869;0;5;0.123;-6.139;1;0.0637;156.077;4;0.417
0ab7Ji9n8oeVcp2VO5NojV;0.078;0.616;0.877;0;7;0.257;-5.422;1;0.194;162.11;4;0.681
65NzNVv3O6nxffiXXeL9ZT;0.00175;0.437;0.892;3.01e-05;5;0.224;-4.98;1;0.0789;169.75;4;0.58
4p1g3PBOtDpL1dyJPR5hMz;0.976;0.234;0.0536;0.932;9;0.113;-23.69;1;0.0381;79.736;4;0.0746
4SaQKYz3pLmMvSwRY2SxMd;0.973;0.153;0.0263;0.884;0;0.0935;-26.852;0;0.0367;135.71;3;0.038
2l2LM6NijiaBGA0O9VzTSq;0.00149;0.466;0.727;1.4e-06;7;0.143;-5.283;1;0.0296;90.025;4;0.234
1dbkagpr2xin2caRwm4PoQ;0.974;0.152;0.00591;0.928;0;0.108;-38.332;0;0.0446;136.708;1;0.0367
7LQiDVEwbawMKggU4jzW3x;0.0354;0.595;0.793;0;7;0.169;-5.372;1;0.243;91.883;4;0.426
1eJRbQdRijmsoyVHlbyeXm;0.000231;0.449;0.91;1.93e-06;7;0.238;-5.525;1;0.0657;172.035;4;0.567
7uYLWrTni3Xq55KkjF9piV;0.0249;0.598;0.789;0;5;0.354;-5.946;1;0.0305;99.991;4;0.428
1175r6ZmkUjX8dRJLz9Ohk;0.65;0.578;0.669;0;10;0.13;-4.898;1;0.0377;75.995;4;0.503
6oseOMyZR1Yb7mBMzCney7;0.0443;0.645;0.818;0;7;0.112;-4.954;1;0.037;89.991;4;0.291
333nLXIkj5thGuWvIymETt;7.54e-05;0.523;0.834;0;5;0.4;-5.133;1;0.0366;135.974;4;0.559
0aPgsHKcb8g94aY6PMfKCh;0.121;0.766;0.81;4.58e-05;7;0.191;-6.124;1;0.0597;124.546;4;0.557
6O6ujS1bf0ZMIxIb4PjmSS;0.000254;0.465;0.861;4.02e-05;6;0.0665;-4.969;0;0.0515;162.802;4;0.331
35yz78qqezgFp83BcbtgpY;0.9;0.0783;0.201;0.834;9;0.0842;-14.401;1;0.0395;80.53;4;0.0311
7mRLfSiKVSG9VYvcZhW5Yv;0.0233;0.659;0.765;1.47e-05;5;0.369;-4.847;0;0.184;147.001;4;0.512
5aqI3CBgaQZlu9mvo6wKDh;0.571;0.622;0.543;2.17e-05;6;0.16;-6.291;1;0.0832;80.027;4;0.537
51eXjX4VMXkE3Dxtx2n9as;0.0638;0.717;0.701;0;7;0.206;-6.562;1;0.132;93.978;4;0.582
2lWqP72DuD2Gt6SkkJd2Sq;3.38e-05;0.501;0.83;6.71e-06;7;0.0508;-5.0;1;0.0355;103.89;4;0.441
4gjoYVspgWdhGx1A0KAP6K;3.79e-05;0.506;0.913;0.000292;7;0.326;-5.662;1;0.0499;122.057;4;0.485
6IvNaDyL93R5qq3wxm7S2u;0.106;0.703;0.582;0;5;0.0654;-6.423;1;0.0391;110.018;4;0.424
3iH8fv7Zsb2v0zrreVHMY2;0.0698;0.64;0.725;0;5;0.361;-6.122;1;0.215;89.95;4;0.338
4FGQwSKgEykxtBwb2px8ug;0.0201;0.566;0.848;0;7;0.216;-4.103;1;0.0376;117.02;4;0.268
4X06JylMlo7OQZcJ9O5DmN;0.0484;0.689;0.885;0;5;0.162;-5.456;1;0.133;80.03;4;0.512
3fOzATp5S0wvIGCdmC0Bmw;4.23e-05;0.609;0.869;0.000568;7;0.115;-5.635;1;0.0302;100.021;4;0.49
