track_id;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechness;tempo;time_signature;valence
1ahyTXKHzjDUsTObH7wiSP;0.000238;0.417;0.958;0.0101;5;0.11;-3.423;1;0.0949;94.068;4;0.184
1pJQAHpD51J7GYaFrrFO9S;0.0199;0.567;0.464;9.31e-06;5;0.269;-9.66;1;0.0302;99.806;4;0.309
2NqIl3nDehWCJioQLcwGyG;0.397;0.732;0.629;0;5;0.0778;-7.186;0;0.204;96.021;4;0.697
6wefD5q8rXOg3xHTUZjyio;0.222;0.639;0.726;0;6;0.108;-5.254;1;0.0657;117.874;4;0.279
0TNzPB5lSEeKGTQdtUMXQh;0.00371;0.285;0.981;7.66e-06;5;0.0688;-3.906;1;0.184;108.967;4;0.195
5K2qwFxS08aEBjvsisCcQv;0.196;0.411;0.46;8.09e-06;6;0.0962;-12.045;1;0.0382;155.394;4;0.178
0VmdveDdlr2FMGwBljCfxA;0.189;0.514;0.719;0.000443;5;0.107;-7.679;1;0.0278;99.98;4;0.304
5ctXZyWLbYyUSpPOdlKTlj;0.00532;0.716;0.729;0.000597;6;0.313;-5.726;0;0.0375;124.003;4;0.498
6qNexfLfNiGD3RPiaUvqNT;0.181;0.487;0.596;0.000704;9;0.0857;-6.591;0;0.0463;125.448;4;0.286
4zLBcDtvYNVtF9fnG6lme3;0.0969;0.548;0.723;1.28e-05;6;0.337;-6.002;1;0.0375;125.088;4;0.499
5hE3T2329sdMmIrHxjhQDL;0.0106;0.45;0.914;8.18e-05;6;0.101;-6.741;1;0.0647;124.42;4;0.336
7aLLuy3cVBPlRY7KfTARCz;0.297;0.585;0.63;2.82e-06;5;0.0896;-6.269;1;0.0365;104.867;4;0.18
00WXjbcR195RztyuAQ90ub;0.00641;0.444;0.702;7.75e-06;6;0.217;-6.799;1;0.0608;148.096;4;0.27
77f4JrJpo6EEkULhAdbVxK;0.000813;0.456;0.978;0.00579;6;0.116;-4.997;1;0.0927;170.041;4;0.641
3PzVdQUe51QlmzZNwPJrXE;0.306;0.668;0.751;0.00494;4;0.129;-8.137;0;0.0363;120.001;4;0.865
