track_id;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechness;tempo;time_signature;valence
7yGTLo7nVv7OyXbIuRIsPn;0.0957;0.621;0.759;0;6;0.137;-4.923;0;0.131;145.236;4;0.31
0LF7VzR3v4oLUCyeM8KuLe;0.0899;0.645;0.825;0;6;0.13;-5.572;0;0.0492;119.839;4;0.3
1TIJksUSkUn8AIM2JsSekZ;0.0184;0.675;0.823;4.33e-05;11;0.304;-5.789;1;0.0314;126.976;4;0.544
2u0SqHvoQ8NxMMXOi69QQH;0.0607;0.665;0.861;0;6;0.0771;-6.264;1;0.0296;123.993;4;0.904
4yN6xPLopmTLvc27pO9LIE;0.204;0.685;0.731;0;5;0.0722;-5.119;0;0.093;177.912;4;0.786
6PmqCw22rKTF2sFZhghyIS;0.0442;0.789;0.941;0;6;0.128;-5.161;1;0.27;100.095;4;0.385
1GrikfH0jDejDvrxo84n4P;0.0788;0.873;0.591;0.0071;7;0.104;-8.942;1;0.102;123.091;4;0.496
7CTVA39WLjHoLuQATvKp3J;0.0531;0.691;0.712;0;10;0.109;-6.923;1;0.134;179.924;4;0.72
73WJ6rYbtFi0Z2T4hPS1iN;0.147;0.629;0.745;0;6;0.257;-2.936;1;0.0649;99.995;4;0.496
2zFUYgYkG81K4zyYSY5MSm;0.0658;0.747;0.756;0;5;0.14;-6.16;1;0.0473;99.009;4;0.789
4h2tsEvwk25eHrE7hJlnqB;0.0807;0.625;0.565;0;6;0.179;-7.863;1;0.037;96.12;4;0.349
2w0WC4ajeWpolFeOJxSJzX;0.0687;0.742;0.825;0;5;0.103;-5.969;1;0.0582;89.983;4;0.878
7BfiAzV3ASEK9egnfxN1v1;0.0274;0.625;0.833;0;7;0.264;-5.389;0;0.0347;126.013;4;0.581
5xyExId5XWZplBvjmbIuy6;0.00429;0.678;0.81;0;6;0.0597;-5.756;0;0.0342;123.989;4;0.57
41rYs8EJnam3XJfZhv50ea;0.000671;0.605;0.917;0.453;6;0.36;-4.803;1;0.186;127.005;4;0.324
5GqEQyvh2C3clTVKcRUTxV;0.0181;0.733;0.668;0.0807;5;0.0667;-7.973;1;0.0341;123.997;4;0.743
2enFVd4gbYYepyf3yA4Bu4;0.0281;0.764;0.846;0;6;0.412;-4.434;1;0.0605;126.995;4;0.354
5aaKkDSbLjlwSOyhbcFGGt;0.00498;0.823;0.708;0.585;6;0.0624;-5.808;1;0.0795;109.997;4;0.662
2wNvPwoCFAKMkJawTyZpI6;0.136;0.494;0.746;0;5;0.0697;-3.74;0;0.0511;200.011;4;0.516
0dujwJ11d0ahGhf1O28YAl;0.000558;0.543;0.902;0;6;0.0678;-5.017;0;0.318;83.155;4;0.649
4AxLiDUxN5mQYr6WPbDwgN;0.29;0.697;0.688;0;6;0.308;-4.551;1;0.0362;121.962;4;0.666
4zHlsGEnXY2mLLJ4OKCr44;0.0741;0.734;0.585;0;5;0.11;-5.732;1;0.0293;127.025;4;0.374
1CzgcchFuueL1Yl7pZS4h9;0.0311;0.596;0.67;0;5;0.119;-4.632;1;0.0326;139.968;4;0.356
6uuwwgT4zPbmrx54MosPOk;0.0141;0.641;0.543;5.7e-06;5;0.0885;-5.525;0;0.0497;150.036;4;0.523
0MJu985C76e5ZYdv5rls31;0.203;0.693;0.728;0;5;0.0515;-6.026;0;0.175;174.037;4;0.823
12OcamjCI9eId8bChre1b3;0.418;0.802;0.729;1.47e-06;6;0.333;-5.548;1;0.051;102.973;4;0.429
