track_id;track_name;duration_ms;album_name;album_type;artist_name;track_popularity;explicit;artist_genres;album_genres;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechness;tempo;time_signature;valence;played_at;date;datetime
0oF3DPMcjAw9P4vlyp0reZ;Feed The Machine;302135;Feed the Machine;album;Nickelback;63;FALSE;alternative metal, canadian pop, canadian rock, nu metal, post-grunge;;0.000007;0.547;0.962;0.001670;5;0.4490;-4.268;1;0.1040;136.005;4;0.381;2018-07-03T00:45:20.043Z;03/07/18;00:45:20
0Bs2jpsoaFcwG34rJAS4gp;Untraveled Road;235689;Oxygen: Inhale;album;Thousand Foot Krutch;54;FALSE;alternative metal, canadian ccm, canadian metal, canadian rock, christian alternative rock, christian rock, nu metal, post-grunge, rap metal, rap rock;;0.000324;0.587;0.869;0.000002;11;0.0680;-5.918;1;0.0420;125.023;4;0.441;2018-07-03T00:46:08.707Z;03/07/18;00:46:08
0gmbgwZ8iqyMPmXefof8Yf;How You Remind Me;223840;Silver Side Up;album;Nickelback;77;FALSE;alternative metal, canadian pop, canadian rock, nu metal, post-grunge;;0.001350;0.446;0.764;0.000000;10;0.0990;-5.042;1;0.0330;172.094;4;0.543;2018-07-03T00:47:25.091Z;03/07/18;00:47:25
42ZVk59gT4tMlrZmd8Ijxf;Indestructible;278027;Indestructible;album;Disturbed;70;FALSE;alternative metal, nu metal, post-grunge, rap metal;;0.000209;0.429;0.966;0.124000;8;0.3710;-4.605;1;0.0733;179.956;4;0.525;2018-07-03T00:47:57.347Z;03/07/18;00:47:57
1FjHxl8B28sXj7eVfxdST4;Better With You;196018;Better With You;single;Michl;69;FALSE;electropop, indie poptimism, indie r&b, vapor soul;;0.265000;0.784;0.437;0.000070;5;0.1260;-7.868;1;0.0509;90.003;4;0.470;2018-07-03T00:48:52.655Z;03/07/18;00:48:52
3KoUTYSRCUgleIybRyoC8C;Roma - Bangkok;174667;Kiss Kiss Bang Bang;album;Baby K;61;FALSE;italian arena pop, italian hip hop;;0.052600;0.764;0.857;0.000000;11;0.8810;-6.156;0;0.1810;100.03;4;0.353;2018-07-03T00:49:44.568Z;03/07/18;00:49:44
1XZrMIHtCVJPqK29Mzm44G;Bottom of a Bottle;221827;Shapeshifter;album;Smile Empty Soul;65;FALSE;alternative metal, nu metal, post-grunge, rap metal, rap rock;;0.002360;0.537;0.847;0.000001;6;0.0844;-5.208;1;0.0383;106.055;4;0.459;2018-07-03T00:50:38.919Z;03/07/18;00:50:38
3AbvPPbUPa5JQPz1EW1b7e;Higher;326293;Greatest Hits;compilation;Creed;49;FALSE;alternative metal, alternative rock, nu metal, pop rock, post-grunge, rap rock, rock;;0.000052;0.454;0.817;0.000194;2;0.1590;-6.364;1;0.0357;155.847;4;0.451;2018-07-03T00:51:50.112Z;03/07/18;00:51:50
1XZrMIHtCVJPqK29Mzm44G;Bottom of a Bottle;221827;Shapeshifter;album;Smile Empty Soul;65;FALSE;alternative metal, nu metal, post-grunge, rap metal, rap rock;;0.002360;0.537;0.847;0.000001;6;0.0844;-5.208;1;0.0383;106.055;4;0.459;2018-07-03T00:54:07.259Z;03/07/18;00:54:07
5xyExId5XWZplBvjmbIuy6;El Party;211418;El Party;single;Jake La Furia;71;FALSE;italian arena pop, italian hip hop;;0.004290;0.678;0.810;0.000000;6;0.0597;-5.756;0;0.0342;123.989;4;0.570;2018-07-03T00:54:54.657Z;03/07/18;00:54:54
3066w6Ogbvw0ZxixAUIar1;watch;177523;dont smile at me;single;Billie Eilish;72;FALSE;electropop, pop;;0.309000;0.454;0.599;0.003610;0;0.1060;-9.054;1;0.2420;165.206;4;0.369;2018-07-03T00:57:42.776Z;03/07/18;00:57:42
14KKXLz5WHrzGOMUNFV22H;Voglio ballare con te;163802;Voglio ballare con te;single;Baby K;67;FALSE;italian arena pop, italian hip hop;;0.087100;0.756;0.670;0.000000;10;0.1690;-5.296;1;0.0828;94.004;4;0.674;2018-07-03T01:00:39.499Z;03/07/18;01:00:39
0gmbgwZ8iqyMPmXefof8Yf;How You Remind Me;223840;Silver Side Up;album;Nickelback;77;FALSE;alternative metal, canadian pop, canadian rock, nu metal, post-grunge;;0.001350;0.446;0.764;0.000000;10;0.0990;-5.042;1;0.0330;172.094;4;0.543;2018-07-03T01:03:42.144Z;03/07/18;01:03:42
1AEYT6VxrxXPMoQUxsY0E4;Headstrong;285570;Trapt;album;Trapt;76;TRUE;alternative metal, nu metal, post-grunge, rap metal, rap rock;;0.000172;0.492;0.896;0.000003;4;0.1890;-5.819;0;0.1170;184.981;4;0.534;2018-07-03T01:06:48.917Z;03/07/18;01:06:48
34sWDJ5nrn33kID2c5NA87;Porn Star Dancing;199013;My Darkest Days;album;My Darkest Days;53;FALSE;alternative metal, nu metal, post-grunge, rap metal, rap rock;;0.013900;0.477;0.917;0.000000;2;0.0756;-3.399;1;0.0837;160.044;4;0.271;2018-07-03T01:11:20.958Z;03/07/18;01:11:20
