track_id;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechness;tempo;time_signature;valence
1bVhldfIWE7ye4pHi1pzhY;0.638;0.714;0.937;0.0371;8;0.201;-4.54;0;0.163;135.017;4;0.646
5AUs7yM30w55KFvdKQjCZe;0.0562;0.698;0.967;0.00311;6;0.582;-4.66;1;0.174;127.983;4;0.51
30mnIRCDKDm1XccJ1KUPck;0.0585;0.603;0.729;0;8;0.0767;-5.148;1;0.15;87.803;4;0.382
6s6epiKjwFWfU0IxlD3Tau;0.0133;0.632;0.853;0.0352;11;0.0465;-4.782;1;0.0348;128.987;4;0.399
1ePnRGH4gwoCeiqVPMvXd3;0.262;0.586;0.772;0;9;0.176;-5.952;0;0.101;88.016;4;0.526
02l83rc4FqK5XSpHgZ0OkY;0.159;0.679;0.679;0;9;0.075;-4.072;0;0.0313;131.965;4;0.452
5Cf29ONQ4uH3edS1eC2cme;0.103;0.85;0.766;0;11;0.266;-5.498;0;0.0953;95.98;4;0.643
0MYnMb25ZIGFSeBrvM8M7x;0.0425;0.796;0.847;0;11;0.344;-4.048;0;0.194;90.009;4;0.722
6Bloc290MLwdBYu3mukiXw;0.0165;0.63;0.813;0;0;0.123;-5.756;1;0.0308;102.033;4;0.524
1qAuIPMALdFtGv2Ymjy5l0;0.00204;0.487;0.9;6.42e-06;5;0.11;-4.54;1;0.0529;149.959;4;0.377
0oF3DPMcjAw9P4vlyp0reZ;6.97e-06;0.547;0.962;0.00167;5;0.449;-4.268;1;0.104;136.005;4;0.381
2KjF1NK3UPE0rqBuu1YQPH;0.000148;0.854;0.922;0.0576;6;0.313;-3.148;1;0.0445;128.029;4;0.758
0RsMTlG08zUhYSz1nWi1wp;0.776;0.513;0.462;0;2;0.139;-6.194;1;0.0305;102.56;4;0.529
0HpKuz1HfXxRzNnUqfwzgF;0.658;0.52;0.722;0;2;0.123;-4.393;1;0.0309;115.338;4;0.475
7n8UTQQXY5nrI5rDmbheMg;0.0244;0.856;0.757;0;11;0.185;-4.85;0;0.119;91.004;4;0.675
1vOzV0t5hIST2AjRSJ018o;0.0451;0.582;0.738;0;8;0.171;-7.903;1;0.211;89.979;4;0.426
10tzk7ZRjwnLKd3gjKLtTA;0.44;0.651;0.717;0;9;0.13;-5.201;0;0.0296;125.976;4;0.501
0ISPEDdsb0G5PtAJkVZRf5;0.403;0.574;0.639;0;2;0.119;-4.992;1;0.0294;131.091;4;0.263
5LFZ84CFyBBLE7qJGeMcKk;0.278;0.726;0.904;0.000186;8;0.0719;-6.325;0;0.0579;130.011;4;0.63
2fKwgxMdLZ1IZPUXEG1Si7;0.101;0.83;0.801;9.98e-05;11;0.136;-4.413;0;0.0761;92.002;4;0.492
71XKBgKObhCi5Ot6t1vWX3;0.0332;0.546;0.671;0;8;0.132;-6.755;1;0.263;147.915;4;0.189
1vdZxj0F8zR7uANopPzwDB;0.412;0.594;0.565;0;2;0.378;-5.097;1;0.034;119.731;4;0.373
2R2EPPQQIcuap9J35EEGnf;0.0806;0.516;0.712;3.2e-05;8;0.106;-4.721;1;0.105;175.935;4;0.42
5WBCjhTMMGpPHMDkhCNOCe;0.000126;0.559;0.852;4.85e-06;5;0.254;-6.13;1;0.0435;152.014;4;0.595
3aFPVNAvPLvdLx55z1bKSO;0.83;0.532;0.692;0;2;0.131;-3.108;1;0.0442;127.462;4;0.318
10BAqBfE84J0OvCBNZfGmd;0.499;0.545;0.576;0;9;0.215;-5.4;0;0.0244;150.052;4;0.336
6WxEF4TfIki0HJdMvSrJ0R;0.161;0.805;0.791;0;11;0.196;-4.607;0;0.0347;132.029;4;0.83
4DhqdX3RRN2D2LVnodc1nP;0.57;0.673;0.721;0;9;0.114;-6.739;0;0.0331;129.008;4;0.296
4yF7MYgK5Q3RjTfCH3LKVw;0.0249;0.559;0.712;0;8;0.195;-6.756;1;0.0579;79.983;4;0.334
4oNqHXaoXGU0ABoD3uMxy1;0.00011;0.54;0.873;0.00441;5;0.205;-5.257;1;0.0406;105.878;4;0.375
