track_id;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechness;tempo;time_signature;valence
6L2NXxAfU3SjTweQIjezO2;0.0497;0.861;0.72;0;5;0.231;-13.925;1;0.108;100.804;4;0.7
0wBHJSUAGUkeaG916a74xH;0.98;0.321;0.141;0.898;4;0.105;-19.755;1;0.039;101.531;4;0.0731
3vORhVaEUmiVBzh0cpLvqk;0.879;0.663;0.56;0;0;0.463;-12.499;1;0.923;65.376;4;0.719
5txfHRM3MTYstRPJJCPaqI;0.00104;0.575;0.93;0.0714;6;0.0845;-5.666;0;0.119;124.974;4;0.426
5eQFxc9ON8B5ZLwSSMMf4L;0.0542;0.794;0.715;1.03e-06;8;0.0333;-3.693;1;0.174;98.982;4;0.675
0IurB0VmAnBSKLNWT2cWqQ;0.971;0.291;0.0429;0.795;1;0.108;-22.6;1;0.0384;67.852;3;0.046
03HIubBSSWcbVq1FVbHJ1l;0.107;0.759;0.856;0;5;0.12;-6.825;1;0.142;149.67;4;0.546
44w63XqGr3sATAzOnOySgF;0.000273;0.522;0.874;0.00579;6;0.261;-4.392;0;0.0362;132.018;4;0.196
5au6pkuPDyYtNXA8a1tkbv;0.437;0.613;0.417;0;0;0.469;-11.122;1;0.698;137.267;4;0.285
6bWn9qyWbEKLDtz9vKxz14;0.00924;0.557;0.897;0.000233;6;0.172;-4.031;0;0.0838;129.904;4;0.357
7snEObCORyUlKAUrUGIeJH;0.902;0.119;0.301;0.833;0;0.369;-15.923;1;0.0325;81.281;3;0.0365
2xvywO8hVwwxNPxkX2SK7w;0.992;0.396;0.055;0.899;2;0.117;-16.709;1;0.0341;139.288;3;0.412
4RnDh1ovWF24qCsTma9pgV;0.962;0.162;0.0291;0.95;0;0.329;-27.488;1;0.0381;78.725;3;0.045
7jQ536P2TVwwwmVjBRL4kX;0.995;0.367;0.167;0.908;11;0.131;-21.306;1;0.0468;130.209;3;0.119
2qZJtEl3dAUS63RhUpAToy;0.99;0.286;0.139;0.844;0;0.101;-21.685;1;0.037;159.897;3;0.24
6ITDAE1VFqNtNBJ51uI1Jl;0.066;0.853;0.785;0;5;0.0445;-5.943;1;0.264;101.027;4;0.802
185Tn3NXJ4tT5HfEPtOmrA;0.968;0.424;0.0573;0.88;2;0.115;-18.737;1;0.0335;99.063;3;0.222
0lcOTAOcJVLhXkUyqvj1WX;0.967;0.189;0.143;0.923;1;0.101;-23.36;1;0.0381;101.718;4;0.0394
2rC9oaV3lthiRcokhTeuo9;0.165;0.548;0.913;0;6;0.279;-4.561;0;0.0768;146.047;4;0.155
6gMuOzoUWF2jD8Vz39SBk6;0.992;0.399;0.233;0.755;0;0.156;-15.423;1;0.0427;134.294;3;0.253
3VGOjz1kIkGcGohvArNO2u;0.985;0.156;0.0944;0.913;0;0.0647;-20.858;1;0.0486;72.802;3;0.0258
01k24g94i1JvkFLQmVEdCd;0.0615;0.647;0.853;0;8;0.062;-4.516;1;0.0904;103.846;4;0.618
0gmI4nDoev9Dk0rVno8emv;0.971;0.136;0.188;0.908;0;0.107;-16.551;1;0.0364;68.034;3;0.0831
3aMPhbRGGTBCwWxVoHLOHu;0.946;0.404;0.201;0.906;4;0.106;-15.549;1;0.0383;183.716;3;0.272
7DGFxOJp8gfV3Y1JqOJ1A4;0.984;0.156;0.138;0.953;0;0.0983;-19.958;1;0.0362;68.062;3;0.0386
3lSOZb5rruEnFbe9xWELF6;0.959;0.348;0.169;0.889;1;0.1;-18.45;1;0.0413;138.877;3;0.107
7CbNhNZF4Y2WKTWaiDhS3s;0.985;0.34;0.0697;0.947;4;0.109;-19.11;1;0.0438;112.519;4;0.239
4bdAHrqHQylQEwGEkAxjh5;0.995;0.426;0.00891;0.754;2;0.0877;-19.143;1;0.0757;119.73;3;0.244
3u9Lh7rZBUod20k2U3eEBh;0.112;0.736;0.915;0;5;0.0726;-4.972;1;0.149;95.014;4;0.75
4wNQAG2BzbVkLhdajjxGpR;0.024;0.683;0.794;0;8;0.302;-4.558;1;0.0533;105.941;4;0.327
51s9dD5rf8Kw6fCr4jqK2U;0.497;0.33;0.442;1.95e-06;6;0.112;-18.561;1;0.805;144.224;4;0.653
4neipBD8hA1q2g1FS9hgAC;0.0182;0.746;0.711;0;8;0.06;-5.318;1;0.0512;98.032;4;0.517
0r4FEHukFd50r43uTuYmHY;0.991;0.125;0.0108;0.945;0;0.057;-32.126;1;0.0376;71.332;3;0.164
61UHu6xJqZDuoSXgBIh8DK;0.000151;0.602;0.837;0;6;0.221;-5.963;0;0.0537;140.072;4;0.461
1sjZ3nhooc4zhbpdnBduPl;0.951;0.435;0.0155;0.145;2;0.11;-16.111;1;0.0304;80.995;3;0.0644
6MUefNbXNeoD3900OOFaPT;0.389;0.833;0.869;0.00348;5;0.0684;-9.084;1;0.068;96.019;4;0.762
59jDSGDLBUjDB8fr2BgoT2;0.944;0.442;0.0929;0.87;2;0.111;-21.356;1;0.0315;96.002;3;0.0658
3qrrSsVeLtMcp7mO3XpmMK;0.994;0.351;0.146;0.919;10;0.0786;-21.45;1;0.0495;112.304;3;0.166
6ud2t4i4Lp4vGDhw91zhvi;0.817;0.691;0.202;0;8;0.608;-17.368;1;0.905;83.207;5;0.607
49pteMi1tXYkOLFFepJGpM;0.967;0.714;0.28;0;8;0.775;-17.825;1;0.943;125.027;4;0.45
1wMGhCYn4b0I6fY0FDkyqp;0.965;0.304;0.158;0.904;8;0.101;-16.046;1;0.0431;133.325;3;0.037
3d0NyC7mByWs4V9Sa7hTCC;0.98;0.385;0.128;0.894;1;0.0915;-20.613;1;0.0397;118.555;4;0.154
1NaJF5pDjAu8C3wbDiHOor;0.146;0.653;0.775;0;5;0.331;-5.931;1;0.284;167.55;4;0.586
2IIXuRuxo5uZSENXWGNsVr;0.000389;0.537;0.878;0.00215;11;0.439;-4.944;0;0.0755;144.005;4;0.269
1HulrctNJTlGq7DBMHFXMX;0.733;0.473;0.296;0;0;0.283;-14.762;1;0.753;195.217;4;0.771
7tGXHMwyvUiBmMrRcmi6RG;0.909;0.0887;0.103;0.923;1;0.0697;-18.012;1;0.0401;69.431;3;0.0381
7vZc28XXUY2IRXMNDZTpHY;0.00844;0.675;0.828;2.65e-05;8;0.128;-4.134;1;0.0319;110.972;4;0.606
01wuIn1TP5FCvYyqBTdsGC;0.0153;0.772;0.858;0;8;0.154;-3.565;1;0.127;101.978;4;0.51
