track_id;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechness;tempo;time_signature;valence
4YNoyqzpnVs2VYKPFK3OAh;0.000554;0.481;0.764;1.21e-06;8;0.0681;-4.678;1;0.0647;152.037;4;0.503
2bnExVoVh4IPZCeTbt7LYQ;0.000325;0.459;0.923;1.55e-06;2;0.326;-5.833;1;0.133;147.02;4;0.36
3WbphvawbMZ8FyqDxYGdSQ;0.00457;0.496;0.765;0;7;0.104;-5.66;1;0.033;74.072;4;0.337
6DUpn1TfNm98hpV7H0qFxm;0.0014;0.467;0.791;0;7;0.0922;-6.237;1;0.0459;74.937;4;0.27
45vuHzBLsQMveqJNn3oEuA;0.988;0.28;0.0951;0.991;9;0.119;-16.643;1;0.0307;81.358;5;0.044
5dsJerSybEaT1mu2SNV1Cc;0.000377;0.6;0.985;0.0695;2;0.105;-3.626;1;0.0881;129.534;4;0.542
33bzOaDLMfnzkIRKX1Zw7c;0.00124;0.511;0.984;1.05e-05;11;0.0997;-2.379;0;0.19;172.897;4;0.443
7yH3TR9uI1ohGR33j7VV9z;0.889;0.0604;0.0916;0.925;9;0.0745;-24.425;1;0.0472;65.042;5;0.0288
2ogguaH3LQ2H8gsKKVypYU;0.968;0.204;0.0799;0.922;0;0.0864;-22.987;0;0.0656;74.45;1;0.124
4SaQKYz3pLmMvSwRY2SxMd;0.973;0.153;0.0263;0.884;0;0.0935;-26.852;0;0.0367;135.71;3;0.038
1fa5xpAkZOkOhEE4jJfbFk;0.00106;0.508;0.749;0;2;0.0594;-5.321;1;0.0488;136.135;4;0.245
1XZrMIHtCVJPqK29Mzm44G;0.00236;0.537;0.847;1.16e-06;6;0.0844;-5.208;1;0.0383;106.055;4;0.459
1ZozJfi8u9cO2Ob8KwiwNT;4.88e-05;0.454;0.826;0.000185;2;0.225;-6.302;1;0.0352;155.84;4;0.451
5xyExId5XWZplBvjmbIuy6;0.00429;0.678;0.81;0;6;0.0597;-5.756;0;0.0342;123.989;4;0.57
2a8pEgHrbwd9R5cOXuEKpC;0.000658;0.443;0.814;0;6;0.0465;-4.784;1;0.0317;89.865;4;0.399
3boGCj8In4sLbxc0HHg197;0.00151;0.505;0.744;0.256;8;0.112;-6.995;1;0.141;119.882;4;0.521
14KKXLz5WHrzGOMUNFV22H;0.0871;0.756;0.67;0;10;0.169;-5.296;1;0.0828;94.004;4;0.674
5WwKzyAOGvnNqTIs0Tk8ei;0.00091;0.62;0.978;2.96e-05;2;0.142;-3.602;1;0.132;119.879;4;0.486
5x8w4Nmvx9ATRcAWOaRGBv;0.355;0.621;0.581;3.55e-06;4;0.208;-6.772;0;0.0298;102.54;3;0.315
35RPFpoQerdUjURB0UJISb;0.0494;0.47;0.702;3.8e-06;0;0.215;-9.139;1;0.119;159.752;4;0.188
09FofPlGG8SGxccEuUHHJ5;0.00691;0.575;0.861;0;7;0.0861;-4.54;1;0.0318;107.976;4;0.386
1CbG6oKKrYEw3W1DnddDFv;0.0299;0.501;0.654;1.32e-05;4;0.172;-5.204;0;0.038;97.972;4;0.304
3kZNdQA80hlhy2F70GWeai;0.0336;0.559;0.819;0;11;0.176;-6.054;1;0.035;129.952;4;0.476
48Nh04YgUsE4b5V3y9sIdD;0.752;0.608;0.482;3.96e-06;0;0.269;-7.771;1;0.029;139.892;4;0.249
