track_id;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechness;tempo;time_signature;valence
0Y49LzeAMa6lyrK2s62v5c;0.00123;0.506;0.861;4.41e-05;6;0.0995;-5.168;1;0.0389;125.957;4;0.329
1Zmfv37UqzfpXnnh3LbXpf;0.326;0.64;0.583;1.16e-05;10;0.13;-6.521;1;0.0496;91.968;4;0.362
1175r6ZmkUjX8dRJLz9Ohk;0.65;0.578;0.669;0;10;0.13;-4.898;1;0.0377;75.995;4;0.503
5omWAB5iNMHvbAfBSzkdu8;0.0116;0.488;0.842;0.00127;6;0.146;-5.926;1;0.0469;90.003;4;0.41
3Q8zopc4ABXhysDb1sgLVW;0.0199;0.474;0.923;0;2;0.0673;-3.405;1;0.0897;160.035;4;0.347
6F8vng6UCVCU0rd21k0kpr;0.672;0.496;0.563;1.01e-05;2;0.231;-7.811;1;0.0912;94.842;4;0.343
25jKFK2gFbgVhK2LG4aQcg;0.127;0.688;0.522;0.000192;10;0.0869;-6.727;1;0.037;125.897;4;0.107
4k4EjikG6pYG7Fr1209kur;0.0194;0.686;0.831;0;6;0.0691;-5.953;1;0.0765;98.001;4;0.682
4B4kunXhV2ZKnYcvDgAFoE;0.244;0.357;0.434;0.00654;0;0.0808;-11.521;1;0.0418;145.743;4;0.0907
6nFgZwPukipdPo85wYds5R;0.148;0.674;0.48;0.000216;10;0.0816;-7.582;1;0.0402;120.01;4;0.299
45vuHzBLsQMveqJNn3oEuA;0.988;0.28;0.0951;0.991;9;0.119;-16.643;1;0.0307;81.358;5;0.044
5QpaGzWp0hwB5faV8dkbAz;0.0367;0.558;0.719;0;2;0.115;-5.113;1;0.0267;112.027;4;0.371
7q096gH9G0OjuUduheqM4l;0.0565;0.261;0.849;1.84e-06;10;0.242;-5.146;1;0.0591;142.791;4;0.23
0B0oxxzjRrI8RlvRqmo3jd;0.0329;0.692;0.879;0;6;0.0771;-6.471;0;0.0665;110.034;4;0.518
7yH3TR9uI1ohGR33j7VV9z;0.889;0.0604;0.0916;0.925;9;0.0745;-24.425;1;0.0472;65.042;5;0.0288
2ogguaH3LQ2H8gsKKVypYU;0.968;0.204;0.0799;0.922;0;0.0864;-22.987;0;0.0656;74.45;1;0.124
4SaQKYz3pLmMvSwRY2SxMd;0.973;0.153;0.0263;0.884;0;0.0935;-26.852;0;0.0367;135.71;3;0.038
1dbkagpr2xin2caRwm4PoQ;0.974;0.152;0.00591;0.928;0;0.108;-38.332;0;0.0446;136.708;1;0.0367
5WSrFZDktb5vcAaIzA8yTM;0.272;0.447;0.331;0.00221;0;0.272;-12.581;1;0.033;127.867;4;0.168
5xyExId5XWZplBvjmbIuy6;0.00429;0.678;0.81;0;6;0.0597;-5.756;0;0.0342;123.989;4;0.57
0G66233V3SGhTUW2QQEuyO;0.0214;0.546;0.762;0.000102;7;0.382;-6.124;1;0.029;99.926;4;0.261
21RzyxY3EFaxVy6K4RqaU9;0.0476;0.752;0.764;9.44e-05;1;0.0543;-4.399;1;0.038;121.958;4;0.582
1aWjCUq4KU7wCdQ2AuGeB7;0.000506;0.41;0.888;0.0155;2;0.108;-4.966;1;0.0744;159.919;4;0.238
6UXBFqtZdXzX4bkpqOPsDi;0.298;0.687;0.429;0.00032;10;0.193;-6.524;1;0.0344;121.11;4;0.232
4n6E1rGTr4GQZMzRbGBpet;0.983;0.22;0.104;0.907;11;0.0606;-15.061;1;0.0406;76.212;5;0.0341
0xJEOihwWkNdZCVfM2XoeS;0.0279;0.753;0.775;0;6;0.11;-5.97;1;0.0805;100.074;4;0.646
5aqI3CBgaQZlu9mvo6wKDh;0.571;0.622;0.543;2.17e-05;6;0.16;-6.291;1;0.0832;80.027;4;0.537
4lgavUrn8yLNPXg0c6f6Mm;0.0366;0.472;0.448;0.000319;0;0.0862;-10.219;1;0.0485;140.056;4;0.205
