7lcuIiWzol3KwvDspHqG5c;This is Absolution;214360;As Daylight Dies (Special Edition);album;Killswitch Engage;47;FALSE;alternative metal, groove metal, melodic metalcore, metalcore, nu metal, post-grunge, rap metal, rap rock;;0.000029;0.439;0.989;0.003600;2;0.3620;-2.266;0;0.0530;158.004;4;0.233;2018-06-29T16:24:40.771Z;29/06/18;16:24:40
7LctUWx3T6ISSLdzd1vzh5;Sbagliato (feat.RIKI);232000;Sbagliato (feat. RIKI);single;lowlow;60;FALSE;;;0.00191000;0.29200000;0.66500000;0.00000903;0;0.08080000;-7.423;0;0.04510000;88.257;4;0.16600000;2018-05-30T16:26:10.820Z;30/05/18;16:26:10
77KpZmBrplD5NOYQTi3ix9;I Stand Alone;246040;Faceless;album;Godsmack;61;FALSE;alternative metal, groove metal, nu metal, post-grunge, rap metal, rap rock, rock;;0.000046;0.214;0.926;0.000000;0;0.1240;-4.491;1;0.0759;171.846;4;0.369;2018-06-29T16:28:15.642Z;29/06/18;16:28:15
1Lfjom9CoL5hIyvjYey9zs;Moscow Mule;181194;Siamo solo noise;album;Benji & Fede;57;FALSE;;;0.45200000;0.63800000;0.73200000;0.00000000;10;0.12600000;-5.309;1;0.14600000;110.07;4;0.87000000;2018-05-30T16:28:16.872Z;30/05/18;16:28:16
4B4kunXhV2ZKnYcvDgAFoE;5AM;257907;5AM (Deluxe);album;Amber Run;62;FALSE;indie anthem-folk, indie folk, modern alternative rock;;0.244000;0.357;0.434;0.006540;0;0.0808;-11.521;1;0.0418;145.743;4;0.091;2018-07-07T16:29:40.503Z;07/07/18;16:29:40
6W21LNLz9Sw7sUSNWMSHRu;Freak On a Leash;255733;Follow The Leader;album;Korn;72;TRUE;alternative metal, funk metal, nu metal, post-grunge, rap metal, rap rock, rock;;0.000022;0.353;0.898;0.105000;2;0.3900;-5.877;1;0.0520;103.293;4;0.525;2018-07-07T16:30:13.369Z;07/07/18;16:30:13
5vjIJQcRUSm8DdFAQaX12B;Onde - Sondr Remix;174613;Onde (Sondr Remix);single;Marco Mengoni;59;FALSE;;;0.00276000;0.66500000;0.88600000;0.00000000;7;0.14500000;-4.399;1;0.08930000;120.04;4;0.69300000;2018-05-30T16:31:17.192Z;30/05/18;16:31:17
1XZrMIHtCVJPqK29Mzm44G;Bottom of a Bottle;221827;Shapeshifter;album;Smile Empty Soul;65;FALSE;alternative metal, nu metal, post-grunge, rap metal, rap rock;;0.002360;0.537;0.847;0.000001;6;0.0844;-5.208;1;0.0383;106.055;4;0.459;2018-06-29T16:32:22.178Z;29/06/18;16:32:22
5jQQDwJosT89Wy5vOLCafm;Open Arms;228966;Open Arms;single;RKCB;60;FALSE;electropop, indie electro-pop, indie poptimism, indie r&b, vapor soul;;0.309000;0.616;0.595;0.000046;7;0.1110;-7.513;1;0.1470;87.003;4;0.399;2018-07-07T16:33:51.171Z;07/07/18;16:33:51
59sZRCJ3OgYRNvtJxF2srM;Buona fortuna;182608;Buona fortuna;single;Benji & Fede;58;FALSE;;;0.17900000;0.41700000;0.75700000;0.00000000;11;0.13700000;-4.682;1;0.05940000;76.857;4;0.49300000;2018-05-30T16:34:12.496Z;30/05/18;16:34:12
